"time","People assume that time is a strict progression of cause to effect, but *actually* from a non-linear, non-subjective viewpoint - it's more like a big ball of wibbly wobbly... time-y wimey... stuff.","Mytherious",4,0
"miracles","The universe is big. It’s vast and complicated and ridiculous. And sometimes, very rarely, impossible things just happen and we call them miracles.","Nuva",0,0
"haai","haai? haai? HAAI?! HAAAAAAAAAAAAAAIII!!!!!!","Nuva",0,0
"howto","To add topic 'Pokedex: !'topicname' 'topictext'; parameters (put them between %) => user -> show the caller; randomuser -> random user duh!; dice:MIN:MAX -> returns a random number between MIN and MAX; param -> value of added parameter, Use a ':' to add defaults","Essevee21",7,0
"stupidtest","This is a test %user%","Essevee21",1,0
"crash","%randomuser:%randomuser%%","Poele",3,0
"randomtest","this is a test %param:%%%","Mytherious",1,0
"bug","https://github.com/jerodev/pokedex-irc-bot/pulls","Nuva",13,0
"poelekill","P-P-P-POELEKILL!!!","Rha",6,0
"lastwords","12:20:13 <Poele> hold my beer","Mytherious",1,1
"lastwords","12:21:01 <Mytherious> What's the worst that can happen?","Mytherious",0,1
"poop","%randomuser% kakt in de gazon van %randomuser% terwijl %user% er staat op te kijken.. Mytherious is hierdoor opgewonden...","Yoda",45,0
"exception","Mirzoda houdt er niet van om genomen te worden...","Yoda",1,0
"loop","/quit","Thom",1,0
"creche","/join #skyline","Yoda",1,0
"hoedje","van papier !!!","Yoda",4,0
"confused","aprocita kakt in de gazon van rabbel terwijl Mytherious er staat op te kijken.. Mytherious is hierdoor opgewonden...","Yoda",1,0
"robshot","Robbie the Red-nosed Reindeer!","Rha",2,1
"robshot","Lobbie the Led-nosed Leindeer!","Rha",0,1
"food","Dinner is served! Robshot trakteert!","Nuva",2,0
"drinks","Drinks on %randomuser% tonight! :D","Nuva",2,0
"Robshot","10:18 <+Robshot> alleen men muis beweegt ng","Nuva",7,1
"Robshot","15:47 <+Robshot> hahaha tis vingersport :p","Nuva",0,1
"Robshot","08:51:10  * Robshot haalt zijn fluit uit","Nuva",0,1
"Robshot","10:18:27 <Robshot> ik zat al mee zen ballen in zijnhand","Nuva",0,1
"Robshot","10:19:52 <Robshot> * haalt poele zijn ballen uit","Nuva",0,1
"Robshot","10:03:42 +Robshot | en tzijn de ballen van poele om precies te zijn  ","Nuva",0,1
"break","%user% breaks %param:%randomuser%% with a dvorak keyboard","Nuva",9,0
"honger","%user% wilt zijne pizza!","Mirzoda",7,0
"dust","Wen dust! %param:%randomuser%%, geef mij een pint!","Nuva",3,0
"Mirzoda","weensteen...","Mytherious",1,0
"Djoef","11:44 <+Djoef> geen alcohol!","Nuva",9,1
